node_idx,node_id,in_katz,out_katz,系统匹配企业名称,统一社会信用代码,node_origin,credit_code,norm_name,注册资本,所属省份,所属城市,国标行业大类,企业机构类型大类,match_source
1702,corp:91230100127049733H,0.007909097049912562,0.0051947173139530265,东北轻合金有限责任公司,91230100127049733H,node,91230100127049733H,东北轻合金有限责任公司,100000万人民币,黑龙江省,哈尔滨市,有色金属冶炼和压延加工业,国有企业,node_primary+registry_code
71,corp:91210100711107373Q,0.007870830349344465,0.005380254659208775,华电辽宁能源发展股份有限公司,91210100711107373Q,node,91210100711107373Q,华电辽宁能源发展股份有限公司,147270.6817万人民币,辽宁省,沈阳市,电力、热力生产和供应业,国有企业,node_primary+registry_code
24,corp:912100007497716597,0.007848461330586108,0.005241431359880042,东北特殊钢集团股份有限公司,912100007497716597,node,912100007497716597,东北特殊钢集团股份有限公司,1045459.4961万人民币,辽宁省,大连市,黑色金属冶炼和压延加工业,其他企业,node_primary+registry_code
7,corp:91210000118887313L,0.00784759727027043,0.00517087450499915,梦网云科技集团股份有限公司,91210000118887313L,node,91210000118887313L,梦网云科技集团股份有限公司,80539.869万人民币,辽宁省,鞍山市,互联网和相关服务,其他企业,node_primary+registry_code
682,corp:9121030094126485X6,0.00784571315134321,0.005314764914000086,鞍钢电气有限责任公司,9121030094126485X6,node,9121030094126485X6,鞍钢电气有限责任公司,30253.53万人民币,辽宁省,鞍山市,电气机械和器材制造业,国有企业,node_primary+registry_code
181,corp:91210106755513533W,0.007844624669618522,0.005303450772886269,三一重型装备有限公司,91210106755513533W,node,91210106755513533W,三一重型装备有限公司,291807万人民币,辽宁省,沈阳市,专用设备制造业,外资及港澳台企业,node_primary+registry_code
367,corp:912102002423997128,0.00781602726124632,0.005266587430796929,瓦房店轴承股份有限公司,912102002423997128,node,912102002423997128,瓦房店轴承股份有限公司,40260万人民币,辽宁省,大连市,通用设备制造业,国有企业,node_primary+registry_code
773,corp:912104007777942682,0.007815353871948283,0.00526048815508858,抚顺新钢铁有限责任公司,912104007777942682,node,912104007777942682,抚顺新钢铁有限责任公司,105000万人民币,辽宁省,抚顺市,黑色金属冶炼和压延加工业,其他企业,node_primary+registry_code
136,corp:91210106117978061A,0.007780394536060764,0.0051922076326923515,沈鼓集团股份有限公司,91210106117978061A,node,91210106117978061A,沈鼓集团股份有限公司,279900.233万人民币,辽宁省,沈阳市,通用设备制造业,其他企业,node_primary+registry_code
1836,corp:91230199128027157K,0.007762368677798642,0.005124327260574477,亿阳信通股份有限公司,91230199128027157K,node,91230199128027157K,亿阳信通股份有限公司,63105.2069万人民币,黑龙江省,哈尔滨市,软件和信息技术服务业,民营企业,node_primary+registry_code
